Callsign,Code,Number,AirlineCode,AirportCodes
BNE3012,BNE,3012,BNE,WBKK-WBKD
BNE3013,BNE,3013,BNE,WBKD-WBKK
BNE3014,BNE,3014,BNE,WBKK-WBKD
BNE3015,BNE,3015,BNE,WBKD-WBKK
BNE3016,BNE,3016,BNE,WBKK-WBKD
BNE3017,BNE,3017,BNE,WBKD-WBKK
BNE3018,BNE,3018,BNE,WBKK-WBKD
BNE3019,BNE,3019,BNE,WBKD-WBKK
BNE3041,BNE,3041,BNE,WBKK-WBKL
BNE3042,BNE,3042,BNE,WBKL-WBKK
BNE3044,BNE,3044,BNE,WBKL-WBKK
BNE3045,BNE,3045,BNE,WBKK-WBKL
BNE3046,BNE,3046,BNE,WBKL-WBKK
BNE3047,BNE,3047,BNE,WBKK-WBKL
BNE3220,BNE,3220,BNE,WBGR-WBKL
BNE3221,BNE,3221,BNE,WBKL-WBGR
BNE3222,BNE,3222,BNE,WBGR-WBKL
BNE3223,BNE,3223,BNE,WBKL-WBGR
BNE3227,BNE,3227,BNE,WBKL-WBGR
BNE3228,BNE,3228,BNE,WBGR-WBKL
BNE3251,BNE,3251,BNE,WBKK-WBMU
BNE3252,BNE,3252,BNE,WBMU-WBKK
BNE3445,BNE,3445,BNE,WBGR-WBGB
BNE3446,BNE,3446,BNE,WBGB-WBGR
BNE3470,BNE,3470,BNE,WBGR-WBGJ
BNE3471,BNE,3471,BNE,WBGJ-WBGR
BNE3475,BNE,3475,BNE,WBGJ-WBGR
BNE363,BNE,363,BNE,WBGG-WSSS
BNE3630,BNE,3630,BNE,WBGR-WBMU
BNE3631,BNE,3631,BNE,WBMU-WBGR
BNE364,BNE,364,BNE,WSSS-WBGG
BNE3651,BNE,3651,BNE,WBGR-WBGS
BNE3652,BNE,3652,BNE,WBGS-WBGR
BNE3653,BNE,3653,BNE,WBGR-WBGS
BNE3654,BNE,3654,BNE,WBGS-WBGR
BNE3655,BNE,3655,BNE,WBGR-WBGS
BNE3656,BNE,3656,BNE,WBGS-WBGR
BNE3752,BNE,3752,BNE,WBGG-WBMU
BNE3753,BNE,3753,BNE,WBMU-WBGG
BNE3760,BNE,3760,BNE,WBGG-WBGJ
BNE3761,BNE,3761,BNE,WBGJ-WBGG
BNE5002,BNE,5002,BNE,WMKK-WBGG
BNE5003,BNE,5003,BNE,WBGG-WMKK
BNE5004,BNE,5004,BNE,WMKK-WBGG
BNE5005,BNE,5005,BNE,WBGG-WMKK
